category,title,story,url
Business,Latest stories,,/
Politics,Politics,"Chaos rocks MDC-TBY MOSES MATENGA CHAOS and fierce factional fights continue to rock the Thokozani Khupe-led MDC-T faction after a camp sympathetic to acting secretary-general Douglas Mwonzora nominated him to take over as party leader ahead of the planned extra-ordinary congress. The development reportedly irked acting party chairperson Morgen Komichi, who on Thursday threatened disciplinary action against […]By The NewsDayJul. 25, 2020",#
Politics,Politics,Politics,#
Politics,,"Guinea ministers ‘to declare assets to curb corruption’By The NewsDayDec. 16, 2020",https://www.newsday.co.zw/politics/article/40945/guinea-ministers-8216to-declare-assets-to-curb-corruption8217
Politics,,"BY KENNETH NYANGANI SPEAKER of the National Assembly Jacob Mudenda (pictured) has said he does not enjoy recalling legislators, but was mandated to follow the Constitution. He made the remarks in Mutare on Thursday at the Parliamentary Portfolio Committee on Mines Mining Development meeting to review legislation and policies governing the mining industry in Zimbabwe. […]",https://www.newsday.co.zw/politics/article/45396/i-am-following-the-constitution-in-recalling-mps-mudenda
Politics,Chaos rocks MDC-T,,https://www.newsday.co.zw/politics/article/45411/chaos-rocks-mdc-t
Politics,,,https://www.newsday.co.zw/politics/article/45411/chaos-rocks-mdc-t
Politics,United Nations calls out ED,,https://www.newsday.co.zw/politics/article/45412/united-nations-calls-out-ed
Politics,,,https://www.newsday.co.zw/politics/article/45412/united-nations-calls-out-ed
Politics,Le Savage launches new music video,,https://www.newsday.co.zw/politics/article/45751/le-savage-launches-new-music-video
Politics,,,https://www.newsday.co.zw/politics/article/45751/le-savage-launches-new-music-video
Politics,Zimbabweans have an ultimate duty of freeing themselves from the jaws of a crocodile,,https://www.newsday.co.zw/politics/article/46161/zimbabweans-have-an-ultimate-duty-of-freeing-themselves-from-the-jaws-of-a-crocodile
Politics,,,https://www.newsday.co.zw/politics/article/46161/zimbabweans-have-an-ultimate-duty-of-freeing-themselves-from-the-jaws-of-a-crocodile
Politics,Zim govt at war with citizens: MDC Alliance,,https://www.newsday.co.zw/politics/article/46165/zim-govt-at-war-with-citizens-mdc-alliance
Politics,,,https://www.newsday.co.zw/politics/article/46165/zim-govt-at-war-with-citizens-mdc-alliance
Politics,MDC Alliance activists trial in false start,,https://www.newsday.co.zw/politics/article/46200/mdc-alliance-activists-trial-in-false-start
Politics,,,https://www.newsday.co.zw/politics/article/46200/mdc-alliance-activists-trial-in-false-start
Politics,Tendai Biti: The story of my arrest in Mnangagwa’s tinpot Zimbabwe,,https://www.newsday.co.zw/politics/article/46211/tendai-biti-the-story-of-my-arrest-in-mnangagwas-tinpot-zimbabwe
Politics,,,https://www.newsday.co.zw/politics/article/46211/tendai-biti-the-story-of-my-arrest-in-mnangagwas-tinpot-zimbabwe
Politics,Teachers petition govt over schools re-opening,,https://www.newsday.co.zw/politics/article/46505/teachers-petition-govt-over-schools-re-opening
Politics,,,https://www.newsday.co.zw/politics/article/46505/teachers-petition-govt-over-schools-re-opening
Politics,Authorities must reveal whereabouts of missing activists,,https://www.newsday.co.zw/politics/article/46749/authorities-must-reveal-whereabouts-of-missing-activists
Politics,,,https://www.newsday.co.zw/politics/article/46749/authorities-must-reveal-whereabouts-of-missing-activists
Politics,Authorities must account for the disappearance of three opposition leaders,,https://www.newsday.co.zw/politics/article/46750/authorities-must-account-for-the-disappearance-of-three-opposition-leaders
Politics,,,https://www.newsday.co.zw/politics/article/46750/authorities-must-account-for-the-disappearance-of-three-opposition-leaders
Politics,Mwonzora reinstates Victoria Falls mayor,,https://www.newsday.co.zw/politics/article/46908/mwonzora-reinstates-victoria-falls-mayor
Politics,,,https://www.newsday.co.zw/politics/article/46908/mwonzora-reinstates-victoria-falls-mayor
Politics,6 MDC youths nabbed over Kwekwe demo,,https://www.newsday.co.zw/politics/article/47766/6-mdc-youths-nabbed-over-kwekwe-demo
Politics,,,https://www.newsday.co.zw/politics/article/47766/6-mdc-youths-nabbed-over-kwekwe-demo
Politics,"US firm Railnet plans $11bn Zambia, Moz, Zim railway project",,https://www.newsday.co.zw/politics/article/48193/us-firm-railnet-plans-11bn-zambia-moz-zim-railway-project
Politics,,,https://www.newsday.co.zw/politics/article/48193/us-firm-railnet-plans-11bn-zambia-moz-zim-railway-project
Politics,Chamisa meets Byo’s divided structures,,https://www.newsday.co.zw/politics/article/48804/chamisa-meets-byos-divided-structures
Politics,,,https://www.newsday.co.zw/politics/article/48804/chamisa-meets-byos-divided-structures
Politics,Fireworks expected at Zanu PF politburo,,https://www.newsday.co.zw/politics/article/49006/fireworks-expected-at-zanu-pf-politburo
Politics,,,https://www.newsday.co.zw/politics/article/49006/fireworks-expected-at-zanu-pf-politburo
Politics,Zanu PF fat cat sweats over reclaimed property,,https://www.newsday.co.zw/politics/article/49182/zanu-pf-fat-cat-sweats-over-reclaimed-property
Politics,,,https://www.newsday.co.zw/politics/article/49182/zanu-pf-fat-cat-sweats-over-reclaimed-property
Politics,Zapu sets congress dates,,https://www.newsday.co.zw/politics/article/49727/zapu-sets-congress-dates
Politics,,,https://www.newsday.co.zw/politics/article/49727/zapu-sets-congress-dates
Politics,Zapu wants transitional authority to tackle crisis,,https://www.newsday.co.zw/politics/article/49860/zapu-wants-transitional-authority-to-tackle-crisis
